task,is_primary,model,threshold,n_train,n_val,n_test,train_pos_rate,val_pos_rate,test_pos_rate,val_best_mcc,val_mcc,val_roc_auc,val_pr_auc,val_f1,val_precision,val_recall,val_accuracy,val_bal_acc,test_mcc,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall,test_accuracy,test_bal_acc
hERG_Karim,True,MLP,0.9299999999999999,8918,1060,1223,0.4908051132540929,0.5179245283018868,0.5044971381847915,0.3669362807623837,0.3669362807623837,0.7162105803471175,0.7335677830751823,0.6203904555314533,0.7667560321715817,0.5209471766848816,0.6698113207547169,0.675346386776883,0.2365606450255937,0.6357267412316596,0.6467725944653344,0.5463228271251194,0.6651162790697674,0.46353322528363045,0.6116107931316435,0.6129547314536964
hERG_Karim,True,SVM,0.5399999999999999,8918,1060,1223,0.4908051132540929,0.5179245283018868,0.5044971381847915,0.36032900240898746,0.36032900240898746,0.7141039213799151,0.7229126829370451,0.6614017769002961,0.7219827586206896,0.6102003642987249,0.6764150943396227,0.6788770901728458,0.22425700366806944,0.6202614588849484,0.6509056355729045,0.5617566331198536,0.6449579831932774,0.49756888168557534,0.6083401471790678,0.6093454969483982
NR-AhR,True,RF,0.38999999999999996,4664,592,585,0.120926243567753,0.15878378378378377,0.13162393162393163,0.5948836601740024,0.5948836601740024,0.9005383235067931,0.6710929801687944,0.6606334841628959,0.5748031496062992,0.776595744680851,0.8733108108108109,0.834081004870546,0.41080180867842964,0.8445393189487678,0.4889595713100173,0.4945054945054945,0.42857142857142855,0.5844155844155844,0.8427350427350427,0.733152674097556
NR-AhR,True,XGB,0.6799999999999999,4664,592,585,0.120926243567753,0.15878378378378377,0.13162393162393163,0.616848172920621,0.616848172920621,0.897761257797146,0.6749177110750749,0.68,0.6415094339622641,0.723404255319149,0.8918918918918919,0.8235495172178074,0.3592567977457762,0.823051948051948,0.4384725412405001,0.4383561643835616,0.463768115942029,0.4155844155844156,0.8598290598290599,0.6713748849575621
NR-AhR,True,MLP,0.27999999999999997,4664,592,585,0.120926243567753,0.15878378378378377,0.13162393162393163,0.609550481202343,0.609550481202343,0.8776382124241648,0.6730862315465488,0.673469387755102,0.6470588235294118,0.7021276595744681,0.8918918918918919,0.814919251473981,0.42369086878793605,0.7927190919316903,0.4869629425178685,0.4852941176470588,0.559322033898305,0.42857142857142855,0.8803418803418803,0.6886951631046119
NR-AhR,True,SVM,0.19999999999999996,4664,592,585,0.120926243567753,0.15878378378378377,0.13162393162393163,0.4043078873864858,0.4043078873864858,0.7775570366572673,0.4697208202283007,0.4972972972972973,0.5054945054945055,0.48936170212765956,0.8429054054054054,0.6995001281722635,0.12895316642052246,0.612153594437059,0.2142365174599202,0.2484472049689441,0.23809523809523808,0.2597402597402597,0.7931623931623931,0.5668780038858778
NR-Aromatase,True,RF,0.20999999999999996,4163,516,498,0.04660100888782128,0.04844961240310078,0.05622489959839357,0.3023414917322799,0.3023414917322799,0.860122199592668,0.2317344565793475,0.3047619047619048,0.2,0.64,0.8585271317829457,0.754826883910387,0.08396600583210159,0.7256079027355624,0.2997156718779971,0.14285714285714285,0.08333333333333333,0.5,0.6626506024096386,0.5861702127659574
NR-Aromatase,True,XGB,0.43999999999999995,4163,516,498,0.04660100888782128,0.04844961240310078,0.05622489959839357,0.27685254692796807,0.27685254692796807,0.8168635437881874,0.1445633803190998,0.2782608695652174,0.17777777777777778,0.64,0.8391472868217055,0.744643584521385,0.09704896281625625,0.6857142857142857,0.2504032940426279,0.15135135135135136,0.08917197452229299,0.5,0.6847389558232931,0.597872340425532
NR-Aromatase,True,MLP,0.20999999999999996,4163,516,498,0.04660100888782128,0.04844961240310078,0.05622489959839357,0.19085445073165314,0.19085445073165314,0.7182077393075357,0.16552639095077218,0.18181818181818182,0.375,0.12,0.9476744186046512,0.554908350305499,0.10382937252676282,0.5525835866261398,0.18077891062513643,0.13636363636363635,0.1875,0.10714285714285714,0.9236947791164659,0.539741641337386
NR-Aromatase,True,SVM,0.09,4163,516,498,0.04660100888782128,0.04844961240310078,0.05622489959839357,0.14964007526774656,0.14964007526774656,0.6964562118126273,0.1216130767390524,0.19230769230769232,0.18518518518518517,0.2,0.9186046511627907,0.5775967413441955,0.16429771214201758,0.6829787234042553,0.15915724296454808,0.21686746987951808,0.16363636363636364,0.32142857142857145,0.8694779116465864,0.6117781155015197
